City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Kavaratti,IN,10.5669,72.642,84.47,69,97,9.8,overcast clouds
144,Amarillo,US,35.222,-101.8313,39.99,48,40,14.97,scattered clouds
145,Kargasok,RU,59.0556,80.8572,22.35,94,100,9.91,light snow
146,Clarence Town,AU,-32.5833,151.7833,60.8,59,24,12.66,few clouds
147,Chokurdakh,RU,70.6333,147.9167,11.77,99,96,2.59,overcast clouds
148,Belaya Gora,RU,68.5333,146.4167,5.58,100,87,4.05,overcast clouds
149,Ilulissat,GL,69.2167,-51.1,19.4,68,40,6.91,scattered clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,69,20,23.02,few clouds
151,Port Alfred,ZA,-33.5906,26.891,69.6,77,98,24.65,light rain
152,Ulladulla,AU,-35.35,150.4667,53.6,71,69,5.75,broken clouds
153,Hamilton,US,39.1834,-84.5333,61.0,51,1,5.75,clear sky
154,Nikolskoye,RU,59.7035,30.7861,53.01,30,0,4.47,clear sky
155,Leningradskiy,RU,69.3833,178.4167,20.43,65,91,7.9,overcast clouds
156,Fortuna,US,40.5982,-124.1573,52.0,100,75,13.8,broken clouds
157,Laela,TZ,-8.5667,32.05,59.27,95,74,3.91,broken clouds
158,Roma,US,43.2128,-75.4557,46.99,66,90,16.11,overcast clouds
159,Aljustrel,PT,37.8776,-8.1652,66.2,52,20,13.8,few clouds
160,Tocopilla,CL,-22.092,-70.1979,71.47,65,13,8.55,few clouds
161,Khatanga,RU,71.9667,102.5,-15.07,100,91,2.95,overcast clouds
162,Ust-Ishim,RU,57.6935,71.1665,38.05,68,100,10.2,overcast clouds
163,Rudbar,AF,30.15,62.6,80.91,14,0,22.5,clear sky
164,Payo,ID,-3.7508,103.6372,73.22,98,98,2.04,overcast clouds
165,Niksic,ME,42.7731,18.9445,53.6,66,40,1.14,scattered clouds
166,Mahon,ES,39.8885,4.2658,57.2,82,20,8.05,moderate rain
167,Moorhead,US,46.8739,-96.7676,36.0,44,90,10.36,overcast clouds
168,Kulim,MY,5.365,100.5618,82.99,83,20,4.61,few clouds
169,Ostersund,SE,63.1792,14.6357,53.6,35,20,5.75,few clouds
170,Sal Rei,CV,16.1833,-22.9167,75.2,64,75,21.85,broken clouds
171,Hervey Bay,AU,-25.2986,152.8535,73.0,65,2,4.0,clear sky
172,Pointe Michel,DM,15.25,-61.3833,87.8,48,40,5.75,scattered clouds
173,Neftegorsk,RU,52.802,51.166,42.55,39,69,14.92,broken clouds
174,Severo-Kurilsk,RU,50.6789,156.125,34.38,97,97,16.46,overcast clouds
175,Sorland,NO,67.667,12.6934,46.4,81,0,19.57,clear sky
176,Bonthe,SL,7.5264,-12.505,86.58,66,96,10.87,overcast clouds
177,Victoria Point,AU,-27.5833,153.3,66.0,80,1,7.45,clear sky
178,Prior Lake,US,44.7133,-93.4227,39.99,41,90,8.05,overcast clouds
179,Wanaka,NZ,-44.7,169.15,44.01,93,25,2.68,scattered clouds
180,Banff,CA,51.1762,-115.5698,41.0,45,66,2.3,broken clouds
181,Port Hawkesbury,CA,45.6169,-61.3485,44.01,93,90,14.97,mist
182,Petauke,ZM,-14.2426,31.3253,64.08,77,96,7.49,overcast clouds
183,Pekan,MY,3.4836,103.3996,78.8,89,20,2.3,few clouds
184,Kaitangata,NZ,-46.2817,169.8464,46.31,88,33,5.46,scattered clouds
185,Pangnirtung,CA,66.1451,-65.7125,17.6,86,90,3.94,light snow
186,Ponta Do Sol,PT,32.6667,-17.1,64.0,68,44,1.99,scattered clouds
187,Xining,CN,36.6167,101.7667,48.09,49,91,1.68,overcast clouds
188,Caxito,AO,-8.5785,13.6643,78.8,89,40,5.75,light rain
189,Codrington,AU,-38.2667,141.9667,50.83,53,93,8.03,overcast clouds
190,Asau,RO,46.4333,26.4,46.99,55,100,3.85,overcast clouds
191,Arlit,NE,18.7369,7.3853,104.04,4,3,6.98,clear sky
192,Nome,US,64.5011,-165.4064,28.4,46,1,8.05,clear sky
193,Saint Petersburg,RU,59.8944,30.2642,53.01,30,0,8.95,clear sky
194,Mbandaka,CD,0.0487,18.2603,79.65,71,58,3.65,broken clouds
195,Salalah,OM,17.0151,54.0924,84.2,70,0,3.44,clear sky
196,Watertown,US,42.3709,-71.1828,73.4,28,75,18.41,broken clouds
197,Tobermory,CA,45.2501,-81.6665,33.8,64,100,29.93,overcast clouds
198,Garowe,SO,8.4054,48.4845,82.11,60,98,20.0,overcast clouds
199,Yellowknife,CA,62.456,-114.3525,35.6,60,20,8.05,few clouds
200,Barcelos,PT,41.5388,-8.6151,61.0,72,40,11.5,scattered clouds
201,Carnarvon,AU,-24.8667,113.6333,71.6,73,0,17.27,clear sky
